国家,品类,指标,日期,数值,单位,频率,来源,范围,说明
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2024-12-01,32.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-01-01,38.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-02-01,21.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-03-01,41.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-04-01,24.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-05-01,90.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-06-01,19.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-07-01,51.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-08-01,41.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-09-01,25.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-10-01,15.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-11-01,16.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-12-01,32.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-01-01,12.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-02-01,25.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-03-01,14.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-04-01,23.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-05-01,20.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-06-01,6.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-07-01,28.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,牛,EYCI月均(c/kg cwt),2000-01-01,249.1297696535449,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-02-01,248.42278020199072,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-03-01,253.97672791847125,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-04-01,261.54986506206467,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-05-01,260.34111320985187,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-06-01,258.07050563650597,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-07-01,267.0738268366164,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-08-01,274.9541350740638,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-09-01,272.2985972197918,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-10-01,264.2159349255506,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-11-01,290.14078947186414,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-12-01,295.43397073582247,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-01-01,290.23824641418264,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-02-01,301.00763536698133,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-03-01,314.11409825825183,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-04-01,330.59367574233306,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-05-01,323.2641005110806,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-06-01,322.57752052136397,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-07-01,330.2893941378592,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-08-01,362.87857984706073,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-09-01,380.0585048182624,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-10-01,344.0072611731664,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-11-01,357.45498244293134,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2001-12-01,362.6219830473673,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-01-01,336.4418747100339,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-02-01,328.33746823427396,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-03-01,335.80046857080447,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-04-01,320.1809589266085,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-05-01,286.3713241199057,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-06-01,268.4746139545832,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-07-01,253.9078947224466,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-08-01,244.82569915513534,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-09-01,265.29454633581,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-10-01,242.8579886406381,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-11-01,227.31450016181216,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2002-12-01,246.23808892074294,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-01-01,252.38969622011837,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-02-01,268.26435925777184,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-03-01,321.69401075123346,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-04-01,321.9861153634619,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-05-01,307.8303652130621,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-06-01,302.76096294455215,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-07-01,316.7558288419395,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-08-01,332.6420928660422,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-09-01,335.33864294793005,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-10-01,335.1791738845554,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-11-01,323.1126263356033,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2003-12-01,312.2142858102832,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-01-01,326.47511134906614,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-02-01,326.7204714223399,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-03-01,325.5207647729189,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-04-01,317.1039469285102,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-05-01,318.54196193277477,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-06-01,337.3022318536067,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-07-01,356.13320086890036,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-08-01,372.8928533114886,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-09-01,385.352017968972,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-10-01,375.17069721580344,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-11-01,371.75560647559297,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2004-12-01,367.9314993574869,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-01-01,379.16771957380786,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-02-01,377.04593394583185,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-03-01,369.4134911510958,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-04-01,339.8326970301129,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-05-01,333.21414662843245,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-06-01,339.18820654998694,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-07-01,398.5562508147313,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-08-01,410.7594053557087,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-09-01,410.8769805190657,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-10-01,397.60272849458335,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-11-01,375.22410738487093,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2005-12-01,370.42010781119245,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-01-01,352.41321891940015,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-02-01,360.5336478438078,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-03-01,363.72388185495345,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-04-01,359.4505509327413,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-05-01,350.3730674020371,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-06-01,348.6183192870347,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-07-01,368.8196719341693,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-08-01,371.47292404872763,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-09-01,348.78298234248393,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-10-01,293.6604023948793,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-11-01,297.3094422749544,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2006-12-01,270.99852016535266,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-01-01,298.3747943617654,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-02-01,318.5035754025028,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-03-01,341.1858834722116,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-04-01,317.21272751392854,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-05-01,325.24718664546583,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-06-01,333.2360748910078,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-07-01,340.1797957671068,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-08-01,335.803760251295,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-09-01,315.3931816559731,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-10-01,281.5502596901605,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-11-01,292.71087305629675,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2007-12-01,311.9849615375902,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-01-01,322.4795670874475,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-02-01,339.0699307883628,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-03-01,322.356576138023,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-04-01,318.32801473736066,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-05-01,312.99443157092117,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-06-01,328.3192924328289,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-07-01,340.9306204715913,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-08-01,348.6018935714515,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-09-01,355.9999977013476,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-10-01,346.9855186211873,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-11-01,328.0879540076056,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2008-12-01,327.2679962416953,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-01-01,324.26533349428377,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-02-01,305.4729559672266,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-03-01,317.39948673005057,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-04-01,317.52637442351374,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-05-01,314.08063812237737,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-06-01,330.95448697638597,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-07-01,339.69303918440977,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-08-01,331.67867694640205,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-09-01,321.2903613967938,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-10-01,308.9044467366885,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-11-01,300.1676913381597,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2009-12-01,285.3000961972468,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-01-01,313.7780741803777,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-02-01,330.6617907974102,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-03-01,349.1564842445828,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-04-01,348.51856981739303,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-05-01,344.1070351315196,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-06-01,348.96754663783776,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-07-01,352.46211617463575,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-08-01,365.06709602633765,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-09-01,369.65743777423205,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-10-01,366.9779312471052,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-11-01,370.02164269541163,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2010-12-01,384.1967630662932,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-01-01,401.23756647125833,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-02-01,393.7214033204453,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-03-01,412.6465457696711,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-04-01,415.341616934861,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-05-01,394.4924529831909,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-06-01,382.03135918208284,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-07-01,375.7950313919899,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-08-01,384.4671791589886,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-09-01,400.5879612724301,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-10-01,398.6699171334398,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-11-01,402.22638388713693,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2011-12-01,408.39001599058696,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-01-01,407.73946728710774,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-02-01,389.95556299549145,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-03-01,393.9532857285185,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-04-01,380.7402842716656,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-05-01,369.64879717834685,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-06-01,373.1079113143848,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-07-01,382.92440269043044,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-08-01,381.52574998632844,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-09-01,363.6605900827961,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-10-01,353.1731990546159,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-11-01,341.75107621408137,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2012-12-01,324.3580257881322,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-01-01,316.6411242879789,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-02-01,329.3649488077582,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-03-01,332.46922041661765,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-04-01,314.0272365178585,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-05-01,290.2793653484034,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-06-01,310.324860413067,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-07-01,324.76482552016864,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-08-01,323.5686581428923,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-09-01,312.30430511747386,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-10-01,301.35296559680074,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-11-01,311.26234837487453,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2013-12-01,315.3089761251511,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-01-01,291.56527744939484,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-02-01,296.10649160809993,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-03-01,312.9906669875301,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-04-01,351.35121773363494,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-05-01,337.189649495347,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-06-01,334.3013443919671,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-07-01,336.9289856382072,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-08-01,346.6067686106317,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-09-01,360.79849048689266,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-10-01,356.4363851073612,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-11-01,338.2346934815938,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2014-12-01,367.3038143869792,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-01-01,422.3746311797939,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-02-01,444.52289040609054,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-03-01,424.2789253030236,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-04-01,439.3078539994134,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-05-01,479.6246878840832,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-06-01,492.3231352958866,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-07-01,541.6636891021976,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-08-01,566.7993094036433,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-09-01,585.8394564229944,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-10-01,549.6061905388599,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-11-01,585.0260915333446,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2015-12-01,590.9918267735219,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-01-01,586.3689151380997,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-02-01,596.822849191752,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-03-01,589.6379623048726,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-04-01,557.7247174508761,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-05-01,569.0324248010509,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-06-01,621.4544307987536,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-07-01,660.867491252805,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-08-01,708.9918813103236,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-09-01,712.6346594192592,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-10-01,697.8952274415159,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-11-01,653.0632331490909,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2016-12-01,634.9460832950115,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-01-01,647.8161977199823,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-02-01,635.2243548493695,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-03-01,621.5980756599569,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-04-01,658.3480264802956,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-05-01,645.609752116953,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-06-01,639.9642727185684,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-07-01,598.2106614489624,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-08-01,554.7426911399855,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-09-01,524.1670675457824,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-10-01,547.1475741644884,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-11-01,577.9986055310707,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2017-12-01,569.4868055429151,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-01-01,554.9071887143599,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-02-01,531.3874314340268,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-03-01,551.136264190537,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-04-01,515.3108403305317,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-05-01,483.06908112846065,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-06-01,483.67081579310405,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-07-01,501.115265295962,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-08-01,462.2965362961731,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-09-01,492.6835248754769,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-10-01,509.1297747512197,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-11-01,523.4148574431496,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2018-12-01,521.6957905531347,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-01-01,482.6170940054178,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-02-01,457.12719806205695,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-03-01,429.7777697356936,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-04-01,477.2949302224409,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-05-01,475.48026920541014,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-06-01,484.56128246910396,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-07-01,513.429651961567,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-08-01,521.8916569256834,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-09-01,486.5368707084783,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-10-01,497.27389338226106,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-11-01,512.9641359299778,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2019-12-01,487.7101476308532,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-01-01,519.9079060028407,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-02-01,663.8664622178948,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-03-01,741.6964310463953,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-04-01,712.1378012595328,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-05-01,731.0491284835829,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-06-01,756.0841985473934,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-07-01,752.4034731183737,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-08-01,770.3272962191168,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-09-01,768.6475736102594,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-10-01,792.4036728672395,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-11-01,821.7222596050436,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2020-12-01,797.0560425706526,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2021-01-01,829.2223023405534,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2021-02-01,871.9194112555499,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2021-03-01,869.7083408206905,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2021-04-01,894.8776840842099,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2021-05-01,891.8516369980571,,月度,,澳洲,
